T_Acc,Alanine,Asparagine,Aspartic.acid,Butanoic.acid.4.amino.,Citric.acid,Fructose,Fumaric.acid,Galactinol,Galactose,Glucose,Glutamic.acid,Glutamine,Glycine,Isoleucine,Lactic.acid,Leucine,Lysine,Malic.acid,Maltose,Myo.Inositol,Ornithine,Oxoglutaric.acid,Phenylalanine,Proline,Putrescine,Pyruvic.acid,Raffinose,Serine,Spermidine,Succinic.acid,Sucrose,Threitol,Threonic.acid,Threonine,Trehalose,Tyrosine,Valine
6C_5779,-0.039395286,0.315907749,0.853613511,-0.166014282,-0.109433718,0.052114408,-0.48571515,0.206560624,0.098375768,-0.192317575,0.677405626,0.613711769,-0.731919238,-0.390189751,0.334490321,-0.488969368,0.026548213,0.391201115,-0.827130238,0.336530967,-0.151083035,0.486847628,-0.23537227,0.668764057,-0.037628082,-0.069368247,0.110077664,-0.556367228,0.066877094,0.063446907,0.358407852,-0.65625262,-0.220332508,-0.379340389,-0.004600641,-0.214707805,-0.033650949
6C_5800,0.838055065,-0.338129608,-0.237961014,-0.444778743,-0.251602592,1.105471423,0.408998723,0.84903867,0.018664641,0.927415544,0.578729593,-0.211448259,-0.325259972,-0.353025138,1.004033724,0.269056423,-0.378308165,-0.177701001,-0.1278083,1.343917106,-0.021115691,-0.752950416,-0.079054973,0.920136388,0.32985851,-0.186142777,0.532691589,-0.72063893,0.057644567,-0.416667952,-0.065610756,-0.886224819,0.10649465,-1.098665807,0.609439944,-0.049322141,0.185623573
6C_5832,0.347177451,0.393936463,0.777363803,-0.372244353,0.45761829,0.179232334,0.376029191,0.39981261,0.15564156,0.257774282,0.149693826,0.018781,-1.036367318,-0.605942777,-0.651151443,-0.771204082,0.004651426,0.591069291,0.235948129,0.516331243,-0.466570504,0.251954701,-0.371117573,0.394739749,-0.201165878,-0.623461098,0.206610802,-0.402140342,-1.044541148,-0.048037067,-0.205257671,-1.170356044,-0.039133217,-0.419939083,0.144114027,0.089564886,-1.009391012
6C_5865,0.053092389,0.586277266,0.483641299,-0.070596664,1.233395372,-0.04927914,-0.270959647,0.646742485,0.126436398,-0.473994217,0.247632435,0.777484856,-0.78795581,-0.181711983,1.012993581,-0.157856654,-0.269477237,0.862491919,0.300598776,0.071995808,0.061281196,0.151185234,-1.010775556,0.872177098,-0.318005635,-0.504620338,0.823044921,-0.807449186,-0.242114403,-0.298181572,-0.114907808,-0.140906149,0.552962902,-0.859643782,0.763734318,0.201121356,0.395178766
6C_6009,-0.566847935,0.567037541,0.96427831,-0.490957285,0.982118656,1.200730596,-0.049413685,1.321926299,0.205941765,1.051894323,0.527361818,0.533643432,-1.18046601,-0.655623188,-0.467324899,-0.904947244,-0.277301886,1.267307543,-0.263285046,1.005881596,-0.623074432,0.689967819,-0.761903978,0.439151505,0.051367824,-0.597646269,0.934989391,-0.14267963,-1.399948364,-0.358246978,-0.190717372,-0.841266475,0.694573807,-1.396150835,0.320964369,-0.188527782,-0.050477013
6C_6011,-1.016625838,0.173851037,0.566605613,-1.174719472,0.474825067,1.074711218,-0.643952789,0.464083291,-0.195237631,1.027056075,0.018515946,0.091002537,-0.718653282,-0.015743319,-0.204944432,-0.487797587,-1.584926534,0.535814731,0.235138146,0.849414152,-0.941196561,-0.552673516,0.543689732,0.515349268,-0.332578742,-0.951266783,0.272403781,-0.004683446,-1.546516767,-0.284251381,0.096688271,-1.213828379,0.352031854,-0.530571794,0.1845311,-0.815570267,0.588983419
6C_6012,0.258524906,0.07318843,0.798716526,-0.4605953,0.786017539,1.477047411,-0.426997393,1.270220378,-0.291288065,1.368013937,0.178556359,0.224603354,-1.127965045,-0.595342749,-0.889338639,-1.20679078,-0.309951217,0.543134474,-0.078690646,1.185566469,-0.571584127,1.059169161,0.08961308,0.687932897,-0.531408111,-0.222774952,0.953558212,-0.546505614,-1.239880198,-0.166690607,0.402798266,-1.054934888,0.314125888,-1.299460971,0.085990354,-0.195096005,-0.110228499
6C_6016,-1.157750673,0.572740073,0.836045178,-0.711244037,1.058200053,1.378297867,1.244051413,1.003136314,-0.321723497,1.368893383,0.401977868,0.545466737,-1.047845027,-0.702166232,0.067598577,-0.268140031,-0.642350669,0.674083057,-0.817800409,0.899331278,-0.502506109,0.472802623,-0.47532369,1.016182574,-0.039125547,-0.364943513,0.936057375,-0.717067205,-1.336472863,0.02889276,0.754744964,-1.311545903,0.45331644,-0.602740091,-0.096838942,-1.051553061,0.379129879
6C_6017,0.238284602,0.700309378,0.573847352,-1.218786512,0.499215091,0.999275077,0.68587501,0.622954375,-0.006809203,1.000221374,0.10012309,0.558992593,-0.862455507,-1.429727238,-0.707943901,-0.834375328,-0.218565872,0.701125631,-0.537242789,0.80044302,-0.771890797,0.707828443,0.164593886,0.403590362,-0.017544728,0.177645675,0.598566057,-0.511080065,-0.974867139,-0.270426411,0.101826514,-0.918317471,-0.363224309,-0.553937234,-0.190719349,0.391957646,-0.110490849
6C_6020,0.415458214,-0.57869917,0.174606498,-0.752062011,0.674549101,-0.23604865,-0.037843857,0.226118971,0.194345477,-0.162613036,-0.127449207,-0.432923176,-0.777114093,-0.053134046,0.027149307,0.109901809,-0.399481675,0.590075896,1.122222639,0.652826756,-0.505913141,0.279108693,-0.187917635,0.669178813,-0.409037846,0.139694409,0.311348862,-0.741042767,-0.97455778,-0.188366666,0.935538795,-0.754845659,-0.021662449,-0.887758226,1.603138211,0.297255706,0.356271201
6C_6021,0.104111779,-0.312694823,-0.641532863,-0.501809613,-0.437752608,0.356638645,-1.093491455,0.213575618,0.156919853,0.352316488,0.399528969,0.105425406,-0.385042312,-0.356010896,-0.076388867,0.253675245,0.094149478,-0.76740667,1.369442126,0.932347004,-0.157598016,-0.607428434,1.847875248,0.731009792,0.773059486,-0.68385009,0.340398436,-0.543309087,-0.204123382,-0.500510011,1.177046112,-1.01732237,0.386693488,-0.862894542,1.706309081,-0.275720142,0.703175251
6C_6023,0.481311196,0.269141368,1.079250339,-0.104936957,0.91777291,-0.050192089,-1.085139843,0.127843021,-0.693460593,-0.214028189,0.651311369,0.767731373,-0.186029624,0.083956553,-0.193059231,-0.174280923,0.13060832,0.546542224,0.507560093,0.753593846,-0.590224876,-0.123865546,0.46431827,0.788291349,0.276045838,-0.861067687,-0.021217576,-0.650680237,-0.360192718,-0.533444249,0.632520835,-0.689128914,0.235134413,-0.626742971,0.433063074,-0.323664565,0.189542617
6C_6024,0.275329457,0.141733364,0.934878878,-0.200428306,1.345954075,1.354879782,-1.017321414,0.446319084,0.287175193,1.233938787,0.489106055,-0.036787997,-0.711366221,-0.564387417,-0.227169423,-0.202442099,-0.465896826,1.035972161,-0.304064646,0.709069039,-1.213737488,0.478786379,-0.686383296,0.988800829,-0.892043588,-0.548975132,0.605944398,0.481820392,-2.044447275,-0.350097072,1.125225151,-1.339900069,0.508589224,-0.814086354,-0.321521522,-1.16296005,0.458150713
6C_6030,0.295840835,0.27494274,0.19056384,-0.395581794,0.284066169,1.021639796,-0.739733041,1.264378053,0.604931039,0.904319776,0.375370549,0.182356779,-0.564889293,-0.621948257,-0.005992382,-0.483925988,-0.880781115,0.248419954,-0.323488897,1.174130298,-0.233768655,-0.408950333,-0.317061028,0.580085927,0.30418976,-0.666166253,1.32464951,-0.791541356,-0.799166516,-0.177314079,0.973891179,-0.605398348,-0.192461835,-0.967031856,0.352180051,0.295706121,-0.053204108
6C_6034,-0.141351889,0.808441487,0.275279814,-0.480452109,0.160034343,1.026290398,-0.783648159,0.958328919,0.232162043,1.023687334,0.344018674,0.65260717,0.254631383,-0.587846973,-0.181325086,0.022560065,-0.725260587,0.253608601,-0.416207841,0.660960558,-0.488332057,-0.259288077,-0.249333857,0.804861239,0.460941694,-0.73050555,1.038366453,-0.465229225,-0.777299149,-0.451689253,0.741941099,-0.818869763,-0.011510824,-0.945651643,0.340585616,-0.273282871,0.172028281
6C_6035,0.96237209,1.032097153,0.557854842,-0.388050192,0.622495575,0.020261283,-0.553049842,-0.330026521,-0.578457357,0.367168163,0.250534378,0.699902138,0.303655913,-0.200713398,0.407884162,0.020099798,-0.11216412,0.194020496,-0.804128819,0.369002696,-0.317055367,0.01175849,-0.916137208,0.074338857,0.403267898,0.033259404,-0.006371198,0.232773103,-0.517620235,-0.525639707,0.325272885,-0.389932419,-0.061823866,-0.04436817,-0.218518535,-0.286720742,-0.080151101
6C_6036,1.083514754,0.201814948,0.439558659,0.131945328,0.057784281,0.04302888,-0.255611695,0.245306622,-0.328327661,-0.457879379,0.236028486,0.29002202,-0.549174624,0.261260229,-0.49381592,0.295423552,-0.382479614,0.641853316,0.112214676,0.116657058,-0.285142023,0.277021237,-0.160013,0.755613067,0.260151926,-0.206509024,0.304571506,0.024164687,-0.747468802,-0.042700467,0.669782962,-1.121864271,-0.147009364,-0.207538139,0.29092622,-0.168290834,0.575288429
6C_6038,0.853752204,0.817444771,0.869628865,-0.749118209,0.660826178,0.031851825,-0.957641391,0.310699914,-0.703241485,-0.079617572,0.258837087,0.655822559,-0.234293402,-0.314410718,-1.170574593,0.044456739,-0.211620678,0.477616663,0.105116519,0.153448139,-0.57988354,0.72179529,0.302721513,0.758230784,0.276837175,-0.463280006,0.385398166,-0.495983108,-0.668954246,-0.438837858,0.517142634,-1.174011702,-0.206850956,-0.633698641,0.34250267,0.593911485,0.498343026
6C_6040,0.895026339,0.989485585,0.851286959,-1.042415083,0.975204034,0.706586454,-0.838405148,0.203158883,-1.231653345,0.771035232,0.981848886,0.956082642,-0.503501947,-1.232388879,-0.413343781,-0.805083638,-1.345345818,0.748104609,-1.442235377,1.223577306,-1.416828826,-0.021863304,-0.03940246,0.774844281,1.018883401,-0.257854872,0.062466673,0.079294535,-0.439388666,-0.487899607,1.096710426,-0.864388965,-0.224827891,-0.360111305,0.243294323,-1.332529561,0.303799234
6C_6043,0.180711551,0.834954364,0.455534685,-0.784028449,0.49958307,0.794635006,-1.413766598,1.599236389,0.239621166,0.42399297,0.231554144,0.417483049,-0.894096963,-0.460688689,-0.715674946,-0.347978426,-1.445694187,0.208329801,0.418425174,0.891364548,-0.747279415,-0.18515481,-0.713298852,1.102798104,-0.002143375,-1.083869082,1.383717854,-0.062806457,-1.634517948,-0.649218801,0.138576356,-1.473906571,0.17239658,-0.8684683,0.684428779,-0.39153812,0.798796667
6C_6064,-0.232989948,0.049816873,1.045445831,0.636164937,1.277845776,1.348385523,-0.558998855,1.003120657,-0.056587617,1.041172021,0.275442269,0.134537007,-1.250278239,-0.164789499,-0.581091809,-0.380695805,-0.968928516,0.498209229,0.650564338,1.026599528,-0.596903211,0.337645164,0.142152004,0.814688318,-0.445050221,-0.569420161,0.748224425,-1.087507934,-1.408145808,-0.270322554,-0.06409861,-1.272209567,-0.036062261,-1.55992908,0.640506732,-0.130548294,0.100533579
6C_6069,0.240929217,0.872292619,0.621851987,-1.349316218,0.699031627,0.750992616,-1.275466731,0.668063701,-0.471711697,0.417782551,0.111838718,0.551632558,-0.92478385,-0.300503963,-1.075989165,0.072526767,-0.722761053,0.014153619,0.239136614,0.489036607,0.218035675,-0.680438321,0.532450462,0.450590506,0.344216286,-1.446337935,0.166083341,-0.724952393,-1.0620532,-0.95831196,-0.470055988,-1.051216193,0.328730182,-0.558457685,0.531267286,0.140587122,0.32623287
6C_6070,-0.326789104,0.691628638,0.686280495,-0.31430362,0.374441,1.400162952,-0.617592484,0.456718977,0.161579348,1.272146378,0.428952348,0.418899541,-0.372086792,-0.405975404,-0.657089652,-0.627870523,-1.307619689,0.922164431,-0.250118254,0.106371643,0.477614711,-0.133336229,-0.069409824,0.177683498,0.073309685,-0.813544063,0.230485693,0.501178781,-0.632812267,0.218324219,0.194341973,-0.930430096,0.244094862,-0.558556712,-0.762829793,-0.238810135,-0.15303052
6C_6074,-0.078155565,0.402559054,-0.26602556,0.18943107,-0.62261157,0.329390994,-1.776682599,0.725709117,0.270574934,0.237184188,0.421045877,0.188697061,-0.306738155,0.077901279,-0.528268116,0.124595785,0.079294567,-1.473894494,0.295536293,0.697819988,0.018314336,-0.753364589,1.210923081,0.908002885,0.413529394,-0.684439769,0.531428339,-0.16544659,0.058312055,-0.388878285,-0.405453985,-0.826943198,0.366779344,-0.690588798,0.631723543,0.099562366,1.170634258
6C_6076,1.229946725,0.923144183,0.958247268,-0.031971387,0.487104644,-0.019823628,-1.707075009,-0.428809699,-0.994166781,-0.123173939,0.913132477,1.436580981,-0.48175653,-0.858360956,0.053590855,-0.379117018,-0.010882792,0.408284845,-0.678749479,0.004632139,0.13647022,-0.429368923,-0.207645972,1.116262775,1.028072956,-0.679317508,-0.349129542,-0.978564483,-0.442923812,-1.092616897,0.219130226,-0.899253787,0.072553465,-0.744829512,-0.256561449,0.504426222,-0.341194984
6C_6085,0.210200592,0.062360302,0.994229896,-0.159667151,0.403066297,0.927602845,-0.004044976,0.735973375,-0.404606691,0.476662912,1.412738509,-0.421564451,-0.716403373,-0.201357193,-0.581584884,-0.740035985,-0.888075318,0.364503361,0.653866271,1.028026924,-0.748223602,-0.140034966,-0.005357817,0.95280457,0.157313384,-1.079497174,0.608906389,0.022892015,-1.162056426,-0.458572816,0.433316036,-0.978722299,0.528622223,-0.685080814,0.739739005,-0.43573064,0.715136336
6C_6090,-0.363556011,0.018137614,-0.149730297,-0.306004488,-0.114928472,0.459484938,-0.048338709,-0.043124574,0.002359104,-0.335413343,0.454252119,0.218164398,-0.53462369,-0.294838499,-0.129624189,-0.202526046,0.024263364,-0.306778874,0.072224077,0.649466531,0.026997021,-1.167328328,0.299713148,0.359134027,1.063352568,-1.556450245,-0.185323491,-0.295538638,0.062876584,-0.516936862,0.071002147,-0.825815499,0.573626866,-0.379989321,0.023252655,0.099623986,0.029733532
6C_6094,1.225167211,0.72684315,0.674832041,0.020345359,0.016066393,-0.234207334,-1.114649867,-0.164549513,-0.510497974,-0.633959229,0.862831311,-0.132053608,-0.027050723,-0.22755075,-0.168331761,0.190465973,-0.628958308,0.044554784,-0.342872469,0.810806649,-0.56141338,0.452772469,1.412935522,0.45863437,0.782322832,-0.316381628,-0.099999845,-0.544838055,-0.627655974,0.101636944,0.134324698,-1.074667267,0.273504004,-0.515197162,0.549423318,0.836404835,0.70960126
6C_6097,0.795504372,0.527803716,0.527988162,-0.979002925,-0.382150598,0.80267664,-1.3318647,-0.069168568,-0.021537364,0.667166946,0.400035397,0.416939239,-0.327604527,0.003744676,-0.774880203,0.127043609,-0.318552013,-0.638192126,-0.329753398,1.115852697,0.120818934,-0.106245187,0.179520834,0.623359387,1.057841784,-0.847429902,-0.064221882,-0.310451663,0.009291893,-0.928563796,0.475735817,-1.329046115,0.213376026,-0.014412854,-0.001466489,0.128283357,0.163934656
6C_6099,0.909999043,0.811644442,0.51858619,-0.463183109,-0.322535551,0.534320445,0.155870056,-0.496763903,-0.560859294,0.094249425,0.093407482,0.598144265,0.628329926,-0.253238245,-0.924849751,-0.0965022,0.126178137,-0.092674019,-0.345323618,-0.253685629,-0.132173855,-0.332252545,0.572961595,0.046829383,0.65406146,-1.037342009,-0.257732252,0.204769558,-0.11323355,-0.318176942,0.06325678,-0.933948023,0.055978475,-0.072417038,-0.167443192,0.689105904,0.513426532
6C_6102,1.267855714,0.021486841,-0.446240298,0.316804525,-0.367909026,-0.443942608,-0.077667453,-0.111805416,0.21973215,-1.022856795,0.890517289,0.081842322,-0.506286331,0.120637324,-0.406058125,0.17174287,-0.564720251,-0.677903288,-0.359324556,0.346698372,-0.356829773,0.268735646,1.118222608,1.115213996,0.42786648,-0.203398475,-0.117966662,-0.716954147,-0.404562468,0.090961583,0.033064232,-0.94074299,-0.028371649,-0.573532507,0.216695704,0.232089188,1.238106974
6C_6104,0.130846728,0.802065482,0.396381943,-0.406399212,0.440632197,-0.072457192,-1.022698257,0.986025791,-1.269562525,-0.835276579,0.514778819,0.719108984,-0.484865511,-0.630130802,0.04367729,-0.4073911,0.110918815,0.696902189,-0.350265401,0.641803186,-0.36401844,0.114853169,-0.693070709,1.20894745,0.82821358,-0.790820008,0.927887798,-0.320773812,-0.256021338,-0.513709257,-0.135950356,-0.391537007,-0.677291689,-0.769975833,0.645742078,0.217604576,-0.291024047
